,name,description,price,product_details,variatal,size,country,closure,target
54,aberfeldy,12 year old single malt scotch whisky 700ml,84.99,"one by one, the last great malts of scotland will leave their distillery gates. full bodied and golden yellow in colour, aberfeldy 12 year old is patiently fermented for longer bringing its famous honeyed notes and making it super smooth. aged for 12 years and bottled at 40% abv. a smooth dram of heather and honey. as golden in hand as the gold in its water source.",single malt,700.0,scotland,cork,0
55,spey river,double cask single malt scotch whisky 700ml,54.99,"the spey river single malt scotch whisky is matured in traditional american oak casks until it achieves the perfect balance of green leafy notes in harmony with sweet delicate oak. the whisky is then transferred into first fill bourbon casks to allow further development of sweet vanilla notes. the spey river has a beautiful floral aroma which is intertwined with hints of spice, fresh fruit and oak. delicate on the taste with subtle spice and oak notes enveloped with a mellow, vanilla sweetness. aroma - soft delicate single malt with hints of leafy spring blossom overlaid with subtle vanilla oakiness. taste - beautifully mellow with a gentle oaky character. finish sweet and crisp",single malt,700.0,scotland,cork,0
56,glen grant,18yo rare edition single malt scotch whisky 700ml,164.95,"the glen grant 18 year old scotch whisky matures in the highest quality, handpicked oak casks, which creates a radiant golden colour and seductive floral and oaky aroma. deeply layered and complex, this rich and vibrant whisky delivers beautifully intricate flavours of malted caramel, vanilla and raisins and lingers with a long, sweet and pleasantly spicy finish.",single malt,700.0,scotland,unknown,1
57,the glenlivet,archive 21 year old single malt scotch whisky 700ml,349.99,the glenlivet archive 21year old is a batch produced whisky using only hand-selected casks. it is a complex whisky with sherry and wood notes integrating seamlessly with the aromatic palette. let the pleasure linger late into the night.,single malt,700.0,scotland,unknown,1
58,the macallan,15 year old fine oak single malt scotch whisky 700ml,184.99,"the macallan triple cask matured 15 years old forms part of the triple cask matured range; a series of single malt whiskies crafted in combination of european and american sherry seasoned oak casks and american ex-bourbon oak casks. the uniquely complex combination delivers the extraordinarily smooth and delicate character. a lighter style macallan with a more complex character, the exquisite and expert marriage of this trinity of spirits delivers a sublime whisky with a natural rich straw colour and decadent flavours of orange and chocolate.",single malt,700.0,scotland,unknown,1
59,glenfiddich,30 year old single malt scotch whisky 700ml,999.99,"30 years of maturing in the finest sherry and bourbon casks have produced an extremely complex scotch, with mind blowing aromas and breath-taking flavours. a truly unique product that must be tried once in this lifetime.",single malt,700.0,scotland,cork,1
60,glen moray,chardonnay cask single malt scotch whisky 700ml,44.0,glen moray chardonnay cask single malt scotch whisky is a classic double matured whisky selected from the finest american oak barrels and finished for 8 months in french chardonnay wine casks. influenced by chardonnay which adds a bold sweetness and spice to the original flavours of sweet vanilla oak and caramelised fruits.,single malt,700.0,scotland,screw cap,0
61,glenfiddich,excellence 26 year old single malt scotch whisky 700ml,575.0,"this rare and aged single malt scotch whisky has spent 26 long years carefully maturing in american oak ex-bourbon casks. this expression was created to honour glenfiddich's line of continuous family ownership since william grant founded the distillery in 1887. the scotch whisky gives vibrant floral notes with a compelling balance of dry tannin and soft brown sugar, vanilla sweetness.",single malt,700.0,scotland,cork,1
63,ardbeg,uigeadail scotch whisky 700ml,134.95,"established in 1815, ardbeg is one of islay's nine active distilleries and embodies the true spirit of scotland's most southerly inner hebridean islands. battered over the centuries by the rugged scottish waves, ardbeg produce some of the most powerful yet perfectly balanced whiskies. the uigeadail is named for the loch that arbeg source their all their pure water from and produces a strong, peat driven whiskey with notes of smoke, leather, dried fruits and walnut oil. courtesy of maturation in both old bourbon and sherry casks, the ardbeg uigeadail has a flavour of christmas pudding, glazed smoked ham with a burst of clove-driven spice on the finish. destined to be very limited and a must have for all fans of islay and ardbeg.
please note: limit of 1 bottle per customer",blended,700.0,scotland,cork,1
64,glenmorangie,nectar d'or single malt scotch whisky 700ml,103.99,"a brilliantly unqiue scotch whisky from glenmorangie that is a non chill-filtered single malt that is initally matured in bourbon casks, then extra matured or 'finished' in sauternes 'barriques' to create luscious lemon and syrup flavours. 

this whisky enchants with a nose of lemon tart, fresh vanilla pods, orange zest and coconut. silken textures lead to tastes of warming gingerbread with nutmeg, toasted almonds and meringue, before a sweet, mellow finish.",single malt,700.0,scotland,cork,1
65,glengoyne,10 year old single malt scotch whisky 700ml,71.0,"glengoyne is a unique distillery in that the stills are located in the scottish highlands, yet the distillery stores are located in the lowlands - due to the distillery being located on the border between the regions. the other unique aspect is the the barley is warm air dried rather than using peat smoke which imparts a delicate, almost floral nature to their drams. the 10 year old has flavours and aromas of fresh green apples, toffee and a hint of nuttiness; a trademark taste that is courtesy of scotland's slowest distillation.",single malt,700.0,scotland,unknown,0
66,lagavulin,distillers edition single malt scotch whisky 2018 release,198.95,"16 year old lagavulin double-matured in ex-bodega pedro ximenez cask wood for an intense, raisiny sweetness that marries beautifully with the smoky power of the regular release to create a massive, rich tasting power-house of a malt. crafted with passion and skill on historic lagavulin bay since 1816, iconic lagavulin single malt scotch whisky celebrated its 200th anniversary in 2016 and is for many the pinnacle of islay malts; intense in flavour, smoky and rich.
it’s quite a legacy to carry in a bay enshrouded by the mists of time, a bay from which the sons of somerled, lord of the isles, sailed to war; a bay guarded still by his ruined castle, dunyvaig. barley malted over local peat smoke imbues lagavulin with its rich mix of shoreline airs and scented, smoky dryness.
here’s a whisky so intense it turns away the cold; “time”, say locals, “takes out the fire and leaves in the warmth”. all this might please at last the leader who brought lagavulin to fame, sir peter mackie, known as “restless peter”. with production limited by the cramped site demand for regular expressions has outstripped supply for decades, so special editions and older releases are vanishingly rare and highly sought after
first maturation cask: refill american oak & european oak
second maturation cask: ex-bodega pedro ximenez-seasoned re-charred american oak with heavily re-charred new ao ends.",single malt,700.0,scotland,unknown,1
67,the balvenie,12 year old 'american oak' single malt scotch whisky 700ml,109.99,"supported by the expertise of malt master david stewart, this is the result of apprentice malt master kelsey mckechnie’s fearless approach to new ideas married with a genuine respect for the craft. a story of flavour and flame.",single malt,700.0,scotland,stopper,1
68,dalwhinnie,winter's gold single malt scotch whisky 700ml,91.99,"made in the highest and coldest working distillery in scotland, with water from a loch at 2000 feet, dalwhinnie whisky thrives on extreme conditions - creating a liquid as sweet and accessible as its highland home is remote. this is an indulgent, honeyed dalwhinnie that is comforting, rich and sweet, with notes of heather and peat and a spicy warmth with a deep gold; almost polished bronze colour.",single malt,700.0,scotland,unknown,0
69,the glenrothes,25 year old single malt whisky 700ml,720.0,"the soleo collection is a new range with clear story and navigation, moving away from vintages and focusing on age statements. all expressions are matured in 100% sherry seasoned casks, for a rich sensorial experience. no allocation constraints. aged for 25 years in predominantly first fill sherry seasoned casks, this expression delivers heady woody notes yet lighter notes of citrus and tropical fruits shine through. the glenrothes 25 years old is the winner of chairman’s trophy with a score of 97 at the ultimate spirits challenge 2018. ",single malt,700.0,scotland,stopper,1
70,glengoyne,12 year old single malt scotch whisky 700ml,88.99,"bridging the boundary of the highlands and lowlands, glengoyne is a unique distillery in that they don't use peat smoke to dry their barley, rather they simply use warm air. this gives the whiskies they produce a feel of grace and subtlety. their 12 year old single malt has a nose of lemon rind and candied apples and glimmer of coconut. the palate is dense and flavoursome courtesy of the hand-selected sherry casks that also impart a textured, long lasting finish.",single malt,700.0,scotland,unknown,0
